,total_poi_sales,total_adjacent_sales,SHARE_BRAND_SALES_NBRH,SHARE_ADJACENT_SALES_NBRH,BASKET_DRIVE,CUMULATIVE_SHARE_BRAND_SALES,recommendation
MOET & CHANDON CHAMPAGNE,43686.47,4149.03,40.3869790141767,67.54209751777668,67.23731055513696,40.3869790141767,Maintain
VEUVE CLICQUOT CHAMPAGNE,27772.29,539.0799999999999,25.674743081911394,8.775688276508738,-65.81976205755504,66.06172209608809,Maintain
LOUIS ROEDERER CHAMPAGNE,24676.15,570.85,22.81244404047012,9.292872398614332,-59.26402106618461,88.87416613655822,Maintain
LAURENT PERRIER CHAMPAGNE,3423.6099999999997,416.81000000000006,3.1650363424356667,6.78525382231136,114.38154536607121,92.03920247899389,Reduce
NICHOLAS FEUILLATTE CHAMPAGNE,3376.2099999999996,267.88000000000005,3.1212163037538514,4.360820982991692,39.71543650297424,95.16041878274774,Reduce
TAITTINGER CHAMPAGNE,2862.539999999999,70.97,2.6463420575578973,1.1553212825254602,-56.342707881398525,97.80676084030564,Eliminate
PIPER HEIDSIECK CHAMPAGNE,2372.4199999999987,128.26,2.193239159694364,2.087945719271742,-4.8008189146729885,100.0,Eliminate
