,total_poi_sales,total_adjacent_sales,SHARE_BRAND_SALES_NBRH,SHARE_ADJACENT_SALES_NBRH,BASKET_DRIVE,CUMULATIVE_SHARE_BRAND_SALES,recommendation
MUMM NAPA PROSECCO,5166.8099999999995,1417.0299999999997,46.906184181857796,50.88261697008868,8.477416906934998,46.906184181857796,Maintain
VILLA JOLANDA PROSECCO,2796.39,712.98,25.38664754157891,25.60163740170204,0.8468619567471913,72.2928317234367,Maintain
GRUET PROSECCO,1314.5200000000002,123.69999999999999,11.933691626116643,4.441811196093217,-62.77923600462071,84.22652334955335,Maintain
MIONETTO PROSECCO,953.26,215.41000000000003,8.654041687849517,7.734927645516895,-10.620633404425128,92.88056503740286,Reduce
BAREFOOT PROSECCO,694.2900000000001,315.78000000000003,6.303017648340477,11.33900678659916,79.89806500993393,99.18358268574333,Reduce
RIONDO PROSECCO,50.97,0.0,0.46272423560171405,0.0,-100.0,99.64630692134504,Eliminate
DOMAINE CHANDON PROSECCO,38.96,0.0,0.3536930786549496,0.0,-100.0,100.0,Eliminate
