,total_poi_sales,total_adjacent_sales,SHARE_BRAND_SALES_NBRH,SHARE_ADJACENT_SALES_NBRH,BASKET_DRIVE,CUMULATIVE_SHARE_BRAND_SALES,recommendation
MIONETTO PROSECCO,70110.59000000001,9722.36,39.70614303401765,36.05329994886272,-9.199692556452554,39.70614303401765,Maintain
DOMAINE CHANDON PROSECCO,35333.45,5414.42,20.010600675095024,20.078222603269296,0.3379305262856791,59.71674370911268,Maintain
GRUET PROSECCO,26957.73,3319.83,15.267129876562564,12.310882004907544,-19.36348151588939,74.98387358567524,Maintain
BAREFOOT PROSECCO,13424.27,3125.08,7.602645830640878,11.588693136665572,52.42973820981851,82.58651941631612,Maintain
VILLA JOLANDA PROSECCO,13191.66,1969.99,7.47091044043602,7.305288054161753,-2.2168969578037268,90.05742985675214,Eliminate
MUMM NAPA PROSECCO,11062.029999999999,2525.9800000000005,6.26482454970917,9.367058471896563,49.518288941250674,96.32225440646131,Reduce
RIONDO PROSECCO,6493.93,888.97,3.6777455935386962,3.296555780236536,-10.3647684051844,100.00000000000001,Eliminate
