,total_poi_sales,total_adjacent_sales,SHARE_BRAND_SALES_NBRH,SHARE_ADJACENT_SALES_NBRH,BASKET_DRIVE,CUMULATIVE_SHARE_BRAND_SALES,recommendation
VILLA JOLANDA PROSECCO,4775.91,516.2,42.40571742130022,34.716524312327664,-18.132444341362095,42.40571742130022,Maintain
RIONDO PROSECCO,3645.4800000000005,496.1700000000001,32.36853180755113,33.36942632322282,3.0921838581452032,74.77424922885135,Maintain
MIONETTO PROSECCO,973.6900000000002,118.19999999999999,8.645477614935334,7.949424978142443,-8.051060540489264,83.41972684378668,Maintain
GRUET PROSECCO,697.0799999999999,140.93,6.1894335320472855,9.478108817001814,53.133703883022875,89.60916037583397,Reduce
BAREFOOT PROSECCO,569.52,72.44,5.056817273729802,4.87188109489542,-3.657165541557672,94.66597764956377,Eliminate
MUMM NAPA PROSECCO,520.78,142.96,4.624050603689082,9.614634474409845,107.92667075786886,99.29002825325286,Reduce
DOMAINE CHANDON PROSECCO,79.96,0.0,0.7099717467471466,0.0,-100.0,100.0,Eliminate
