,total_poi_sales,total_adjacent_sales,SHARE_BRAND_SALES_NBRH,SHARE_ADJACENT_SALES_NBRH,BASKET_DRIVE,CUMULATIVE_SHARE_BRAND_SALES,recommendation
MOET & CHANDON CHAMPAGNE,200238.56000000003,10750.62,46.74675148128551,36.35785018791698,-22.223793021270353,46.74675148128551,Maintain
VEUVE CLICQUOT CHAMPAGNE,150159.61,11533.32,35.05555558927688,39.004887227834914,11.265922254463124,81.80230707056239,Maintain
LOUIS ROEDERER CHAMPAGNE,36318.17,2811.1299999999997,8.478668979866208,9.50704642139328,12.128996237134615,90.2809760504286,Eliminate
LAURENT PERRIER CHAMPAGNE,16622.14,1837.66,3.8805265462712826,6.2148384908337855,60.15451554649187,94.16150259669989,Reduce
NICHOLAS FEUILLATTE CHAMPAGNE,12699.95,1082.51,2.96487053479985,3.660973637513186,23.47836421667997,97.12637313149975,Eliminate
PIPER HEIDSIECK CHAMPAGNE,7549.869999999999,1338.75,1.7625571049153215,4.527559521132163,156.87448698858927,98.88893023641506,Reduce
TAITTINGER CHAMPAGNE,4759.24,214.92,1.1110697635849618,0.7268445133757044,-34.58155939457138,100.00000000000003,Eliminate
