,total_poi_sales,total_adjacent_sales,SHARE_BRAND_SALES_NBRH,SHARE_ADJACENT_SALES_NBRH,BASKET_DRIVE,CUMULATIVE_SHARE_BRAND_SALES,recommendation
VEUVE CLICQUOT CHAMPAGNE,66041.91,6195.67,45.969008985832154,46.62535181589681,1.4277941694739393,45.969008985832154,Maintain
MOET & CHANDON CHAMPAGNE,46854.1,2634.259999999999,32.61317766132261,19.824054424226,-39.214587949409754,78.58218664715477,Maintain
LAURENT PERRIER CHAMPAGNE,11065.05,1376.8700000000001,7.7019181134931145,10.361599012657848,34.532708086122035,86.28410476064789,Maintain
NICHOLAS FEUILLATTE CHAMPAGNE,7973.929999999999,814.63,5.550318878154744,6.130476663505968,10.45269286481254,91.83442363880263,Eliminate
LOUIS ROEDERER CHAMPAGNE,6133.68,1444.18,4.269397887435705,10.868138649327976,154.55904874341945,96.10382152623833,Reduce
PIPER HEIDSIECK CHAMPAGNE,4071.71,732.61,2.834146886086466,5.5132373082885575,94.52898984715345,98.9379684123248,Reduce
TAITTINGER CHAMPAGNE,1525.78,89.97999999999999,1.0620315876752047,0.6771421260968378,-36.240867601771896,100.00000000000001,Eliminate
