,Month,Product,Market_Sales
103,2019-10,GRUET PROSECCO,49.97
104,2020-08,GRUET PROSECCO,92.93999999999998
105,2019-02,GRUET PROSECCO,0.0
106,2019-04,GRUET PROSECCO,0.0
107,2019-07,GRUET PROSECCO,0.0
108,2020-02,BAREFOOT PROSECCO,0.0
109,2020-12,BAREFOOT PROSECCO,2577.9199999999987
110,2021-12,BAREFOOT PROSECCO,1631.5700000000004
111,2021-10,BAREFOOT PROSECCO,488.38000000000005
112,2020-10,BAREFOOT PROSECCO,0.0
113,2019-12,BAREFOOT PROSECCO,0.0
114,2020-11,BAREFOOT PROSECCO,216.41
115,2021-09,BAREFOOT PROSECCO,619.0700000000002
116,2021-06,BAREFOOT PROSECCO,796.6700000000001
117,2021-08,BAREFOOT PROSECCO,692.3900000000001
118,2021-02,BAREFOOT PROSECCO,603.0200000000001
119,2021-11,BAREFOOT PROSECCO,756.0200000000002
120,2021-04,BAREFOOT PROSECCO,741.9200000000001
121,2021-01,BAREFOOT PROSECCO,490.08000000000004
122,2021-05,BAREFOOT PROSECCO,908.3700000000001
123,2021-03,BAREFOOT PROSECCO,692.9800000000001
124,2021-07,BAREFOOT PROSECCO,677.2
125,2020-05,BAREFOOT PROSECCO,0.0
126,2020-07,BAREFOOT PROSECCO,0.0
127,2020-03,BAREFOOT PROSECCO,0.0
128,2020-06,BAREFOOT PROSECCO,0.0
129,2019-05,BAREFOOT PROSECCO,0.0
130,2019-03,BAREFOOT PROSECCO,0.0
131,2019-06,BAREFOOT PROSECCO,0.0
132,2020-09,BAREFOOT PROSECCO,0.0
133,2020-04,BAREFOOT PROSECCO,0.0
134,2019-01,BAREFOOT PROSECCO,0.0
135,2019-09,BAREFOOT PROSECCO,0.0
136,2019-11,BAREFOOT PROSECCO,0.0
137,2020-01,BAREFOOT PROSECCO,0.0
138,2019-08,BAREFOOT PROSECCO,0.0
139,2019-10,BAREFOOT PROSECCO,0.0
140,2020-08,BAREFOOT PROSECCO,0.0
141,2019-02,BAREFOOT PROSECCO,0.0
142,2019-04,BAREFOOT PROSECCO,0.0
143,2019-07,BAREFOOT PROSECCO,0.0
144,2020-02,VILLA JOLANDA PROSECCO,10.99
145,2020-12,VILLA JOLANDA PROSECCO,433.85
146,2021-12,VILLA JOLANDA PROSECCO,508.16
147,2021-10,VILLA JOLANDA PROSECCO,523.4900000000001
148,2020-10,VILLA JOLANDA PROSECCO,54.95
149,2019-12,VILLA JOLANDA PROSECCO,75.03
150,2020-11,VILLA JOLANDA PROSECCO,9.99
151,2021-09,VILLA JOLANDA PROSECCO,289.25
152,2021-06,VILLA JOLANDA PROSECCO,314.6
153,2021-08,VILLA JOLANDA PROSECCO,199.60999999999999
154,2021-02,VILLA JOLANDA PROSECCO,207.63000000000002
155,2021-11,VILLA JOLANDA PROSECCO,245.26000000000002
