,total_poi_sales,total_adjacent_sales,SHARE_BRAND_SALES_NBRH,SHARE_ADJACENT_SALES_NBRH,BASKET_DRIVE,CUMULATIVE_SHARE_BRAND_SALES,recommendation
VEUVE CLICQUOT CHAMPAGNE,49670.45,4346.73,56.912986023273504,65.51075033835005,15.106858585069926,56.912986023273504,Maintain
MOET & CHANDON CHAMPAGNE,30395.120000000003,1171.3700000000001,34.82708611932691,17.654035935941067,-49.30946598445354,91.74007214260041,Maintain
LOUIS ROEDERER CHAMPAGNE,4907.469999999998,733.1299999999999,5.623036866378983,11.049201674719749,96.49883038798224,97.3631090089794,Reduce
NICHOLAS FEUILLATTE CHAMPAGNE,1199.82,0.0,1.3747678728588932,0.0,-100.0,98.73787688183829,Eliminate
PIPER HEIDSIECK CHAMPAGNE,755.58,383.91,0.8657524540137043,5.786012050989128,568.3217615110034,99.60362933585199,Reduce
LAURENT PERRIER CHAMPAGNE,201.96,0.0,0.2314081442237853,0.0,-100.0,99.83503748007578,Eliminate
TAITTINGER CHAMPAGNE,143.97,0.0,0.16496251992423436,0.0,-100.0,100.00000000000001,Eliminate
