,total_poi_sales,total_adjacent_sales,SHARE_BRAND_SALES_NBRH,SHARE_ADJACENT_SALES_NBRH,BASKET_DRIVE,CUMULATIVE_SHARE_BRAND_SALES,recommendation
MOET & CHANDON CHAMPAGNE,79302.87000000001,2795.959999999999,88.86738194289117,79.82322158112765,-10.177142798665507,88.86738194289117,Maintain
VEUVE CLICQUOT CHAMPAGNE,6674.959999999999,451.84000000000003,7.480009484820924,12.89979986810138,72.45699880834056,96.3473914277121,Eliminate
LAURENT PERRIER CHAMPAGNE,1931.52,43.98,2.164475580396184,1.2556064053627358,-41.990271605055,98.51186700810828,Eliminate
LOUIS ROEDERER CHAMPAGNE,600.87,62.97,0.6733393607069329,1.7977611492881191,166.99184010283702,99.18520636881522,Eliminate
PIPER HEIDSIECK CHAMPAGNE,350.15999999999997,93.97,0.3923918826786819,2.682795223099961,583.7030380918513,99.5775982514939,Reduce
TAITTINGER CHAMPAGNE,226.95000000000002,53.97,0.2543218465099579,1.540815773020165,505.8526997049916,99.83192009800385,Reduce
NICHOLAS FEUILLATTE CHAMPAGNE,149.99,0.0,0.16807990199616035,0.0,-100.0,100.00000000000001,Eliminate
