,total_poi_sales,total_adjacent_sales,SHARE_BRAND_SALES_NBRH,SHARE_ADJACENT_SALES_NBRH,BASKET_DRIVE,CUMULATIVE_SHARE_BRAND_SALES,recommendation
MIONETTO PROSECCO,57275.71000000001,7813.83,50.08518967601165,46.42291038888203,-7.3121002652080875,50.08518967601165,Maintain
DOMAINE CHANDON PROSECCO,19817.13,3496.6899999999996,17.329243319448693,20.774258785729906,19.879780107968447,67.41443299546034,Maintain
GRUET PROSECCO,18493.030000000002,2463.7699999999986,16.17137378540002,14.637555965360882,-9.48477130263301,83.58580678086037,Maintain
BAREFOOT PROSECCO,9976.48,1915.52,8.724010459214503,11.380336314983985,30.448448774655112,92.30981724007486,Reduce
VILLA JOLANDA PROSECCO,4312.51,583.94,3.771107880281135,3.4692582629112456,-8.004268956299033,96.080925120356,Eliminate
MUMM NAPA PROSECCO,2318.84,182.28,2.0277276567732265,1.0829475565357087,-46.59304700420025,98.10865277712922,Eliminate
RIONDO PROSECCO,2162.88,375.8100000000001,1.8913472228707786,2.232732725596252,18.04985877777121,100.0,Reduce
