,total_poi_sales,total_adjacent_sales,SHARE_BRAND_SALES_NBRH,SHARE_ADJACENT_SALES_NBRH,BASKET_DRIVE,CUMULATIVE_SHARE_BRAND_SALES,recommendation
DOMAINE CHANDON PROSECCO,15397.399999999998,1917.7300000000002,38.55184822228443,32.70907847361159,-15.155615147124113,38.55184822228443,Maintain
MIONETTO PROSECCO,10907.93,1574.92,27.31116044132796,26.86206184898832,-1.644377555118648,65.86300866361239,Maintain
GRUET PROSECCO,6453.1,591.43,16.157203928145254,10.087515073367001,-37.566455692281494,82.02021259175764,Maintain
MUMM NAPA PROSECCO,3055.6,783.71,7.650579151545866,13.367070385588242,74.71971887105187,89.67079174330351,Reduce
BAREFOOT PROSECCO,2183.9799999999996,821.34,5.468226160293605,14.008893073329478,156.18715581027286,95.13901790359712,Reduce
VILLA JOLANDA PROSECCO,1306.8499999999997,156.87,3.2720772889768663,2.6755972635123038,-18.229399026545423,98.41109519257398,Eliminate
RIONDO PROSECCO,634.6,16.99,1.5889048074260397,0.2897838816030728,-81.76203632535352,100.00000000000001,Eliminate
